app_id,app_id_categorical
337000,2500
381210,3122
1144200,8576
292030,1894
15120,238
945360,7471
464060,4100
1359090,9629
266130,1570
447530,3908
648350,5680
626690,5528
1172470,8757
581320,5110
1240440,9139
1293830,9402
238010,1155
289070,1848
282070,1752
550,20
790820,6610
291480,1888
678960,5891
453480,3988
1938090,11126
350640,2694
420110,3596
1782210,10847
783770,6564
50300,551
1237970,9117
333980,2466
2280,42
1139900,8548
244210,1239
2310,44
883710,7154
208650,811
200260,710
546560,4785
690790,5961
32370,378
894020,7202
377160,3070
30,2
213610,866
35140,431
1151340,8636
952060,7506
278360,1705
1085660,8246
823500,6805
976730,7634
220,9
3830,92
362890,2880
788690,6595
1092790,8284
249130,1300
409710,3481
823130,6803
6060,118
782330,6558
285900,1810
304050,2061
629520,5550
1808360,10906
225540,1007
1091500,8272
440,18
787860,6589
240720,1189
1118200,8431
379720,3106
431960,3730
268910,1600
526870,4627
648800,5683
230410,1058
799960,6668
252490,1367
10090,188
1853200,10991
341940,2574
12220,215
4000,98
1008510,7807
22300,319
621060,5492
1222140,9039
1174180,8780
665360,5791
1817070,10925
1089980,8265
204100,748
223850,985
218620,921
12130,210
1570070,10349
512900,4508
341800,2571
504230,4431
641990,5636
531510,4674
311690,2146
431730,3724
976010,7627
1127500,8483
460950,4066
437920,3799
224760,991
20900,300
294100,1924
597760,5265
241910,1202
602960,5316
346010,2636
368570,2964
761620,6437
40700,477
751780,6370
331470,2427
214340,871
274170,1666
421050,3609
220740,950
427520,3664
257850,1439
40800,479
1216200,9002
1582680,10383
968970,7594
289950,1866
1103210,8352
475550,4202
1046930,8032
222480,968
406970,3450
1283190,9354
714010,6107
363970,2897
8870,167
397900,3347
260750,1479
613100,5418
1262560,9247
239030,1172
110800,689
386360,3192
1777760,10841
444200,3861
977400,7640
1281080,9341
532210,4681
346900,2650
394310,3300
1601840,10447
428690,3683
1046230,8025
585710,5150
482920,4230
1448530,9958
438040,3803
389270,3230
538810,4718
1078730,8214
4720,105
1149620,8620
577670,5077
588430,5189
960090,7538
678900,5889
207610,800
503560,4422
324310,2332
204450,757
203160,735
444090,3858
1106840,8372
1593500,10424
1369630,9669
378540,3094
387290,3206
812140,6740
460790,4060
302510,2037
42680,500
485510,4250
41070,489
42700,501
524220,4606
287290,1830
238960,1171
914710,7308
752590,6373
644830,5655
391220,3257
1151640,8639
774361,6512
241930,1203
449610,3948
219990,940
606280,5352
1325200,9507
47780,529
462780,4087
1196630,8895
637650,5604
457140,4024
3590,85
1048540,8041
507490,4453
1145360,8585
477160,4209
728990,6208
3320,78
962130,7549
